study_accession	run_accession	instrument_model	sample_name	fastq_md5	fastq_ftp	species	citation	latitude	longitude	note
PRJEB6689	ERR636148	Illumina HiSeq 2000	81.2	1eed849877a80f138af9e17b7b9897ed;88e8a274d6e34cf3d8ff77b6b399d3fa	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR636/ERR636148/DKCr_228_81.2.1.fq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR636/ERR636148/DKCr_228_81.2.2.fq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	37.295517	22.060517	
PRJEB6689	ERR636149	Illumina HiSeq 2000	77.16	5c2c036301bb8636cb61c86f9ae9d33a;a9544e3704e275f03cc0316c558cbc3e	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636149/ERR636149_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636149/ERR636149_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	38.1753675	20.5692179	
PRJEB6689	ERR636150	Illumina HiSeq 2000	697	2806cb82a9fb57218e57fb551cea0c99;77d751c69605783e05c6c027ebe66d12	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636150/ERR636150_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636150/ERR636150_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	NA	NA	
PRJEB6689	ERR636151	Illumina HiSeq 2000	1574-1	4712200aed5dbff10633ceff25a706bd;4af7b8ec63fa265a1b5dffb949b27a85	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636151/ERR636151_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636151/ERR636151_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	41.6	8.983333	
PRJEB6689	ERR636152	Illumina HiSeq 2000	1407-8	3fec9504be06951b7a54554e112847f1;fc48f7423d142037a82b511243972171	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636152/ERR636152_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636152/ERR636152_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	35.183333	24.233333	
PRJEB6689	ERR636153	Illumina HiSeq 2000	698	62ccb66ce5b1cfb02630c9af14f5a684;874eb487c705d49067d09d1846ab32c8	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636153/ERR636153_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636153/ERR636153_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	NA	NA	
PRJEB6689	ERR636154	Illumina HiSeq 2000	1504-11	f960e713f68e187ae24953210732ecdd;b67c089d8de213b1af43e6083115eeca	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636154/ERR636154_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636154/ERR636154_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	28.666667	-17.866667	
PRJEB6689	ERR636155	Illumina Genome Analyzer II	1575-1	bc4df8a72f5478823b8f546470c198ca;505bd7288606b3d15cb9df746f964739	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636155/ERR636155_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636155/ERR636155_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	41.383333	9.166667	
PRJEB6689	ERR636156	Illumina Genome Analyzer II	762	43872a3e5865d1db82dcf88b56fb35f9;6195d481e5360a589441eb18f206cb68	ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR636/ERR636156/DKCr_4_762.1.fq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/run/ERR636/ERR636156/DKCr_4_762.2.fq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	37.966667	23.716667	
PRJEB6689	ERR636157	Illumina Genome Analyzer II	1249-11	0fe357e7fadb79cb2b46a764ff1d214c;f9566f0ff3c6f2c2a30bdfc5deb43a40	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636157/ERR636157_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636157/ERR636157_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	38.7833333	-9.3833333	
PRJEB6689	ERR636158	Illumina Genome Analyzer II	1267-15	272c14b5ad27971a022c1b201b204a48;2fbfd4622fb7ae2f7dba803bb064f183	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636158/ERR636158_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636158/ERR636158_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	37.933333	-6.883333	
PRJEB6689	ERR636159	Illumina HiSeq 2000	844	cc0b10a9fb23f8305e9d235d71283e08;e81f51418d536567eeac8d5b57a2e2a0	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636159/ERR636159_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636159/ERR636159_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	35.202554	24.233091	
PRJEB6689	ERR636160	Illumina Genome Analyzer II	987-25	3267e43d00949b94f4b356a9772aa7b6;dcd06d462160d572995a7a2f943b0550	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636160/ERR636160_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636160/ERR636160_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	45.033333	-0.583333	
PRJEB6689	ERR636161	Illumina Genome Analyzer II	1245-12	adfa17b32da54962cc100998f77bfc91;fb098eee93868c903c5d43340bff9295	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636161/ERR636161_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636161/ERR636161_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	39.433333	-6.333333	
PRJEB6689	ERR636162	Illumina Genome Analyzer II	1354-12	f24a2e05d895e0f21adb2b2c88cd91de;618af1cbfa51b0e8a2fb3d5c8e4a3341	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636162/ERR636162_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636162/ERR636162_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	45.883333	10.833333	
PRJEB6689	ERR636163	Illumina Genome Analyzer II	879	94b9b940e82e957eafce19e1db3707c4;0c59f6e0d502c106704e98049bb4f3a4	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636163/ERR636163_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636163/ERR636163_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	35.29	24.42	
PRJEB6689	ERR636164	Illumina Genome Analyzer II	1316-5	23c7829e45f97e5fa2161ad16b79d1a9;84285349ab4ebf7087ad43e8e71d840b	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636164/ERR636164_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636164/ERR636164_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	47.1	4.933333	
PRJEB6689	ERR636165	Illumina Genome Analyzer II	1321-1	8457ce37fc0f5fd058e91a3a08ebd680;1af346af5ad3dbaa3b8c89fd428c5e36	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636165/ERR636165_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636165/ERR636165_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	46.95	4.3	
PRJEB6689	ERR636166	Illumina Genome Analyzer II	100.8	837b7966699266c869abc94c57d2776c;5154d1ae4493560ceaec8afb8c3d6e75	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636166/ERR636166_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636166/ERR636166_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	NA	NA	
PRJEB6689	ERR636167	Illumina Genome Analyzer II	79.1	64afbd840a8cdfa04db9c8a1b5192ba9;053e746ba267f95171df4d92b019db66	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636167/ERR636167_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636167/ERR636167_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	37.7295	21.687317	
PRJEB6689	ERR636168	Illumina HiSeq 2000	907	b5f5850e746d07cbc171a14d5bb87f18;f7b644e189d88cf13b78dc4f0c4a7533	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636168/ERR636168_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636168/ERR636168_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	39.666667	19.8	
PRJEB6689	ERR636169	Illumina Genome Analyzer II	75.2	cd20b9ed3f5d7935d1611a7a72642427;c411b572d3e9e303893bb15b0b4d92f0	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636169/ERR636169_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636169/ERR636169_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	38.090667	22.171933	
PRJEB6689	ERR636170	Illumina Genome Analyzer II	80TR1-TS1	c6f912e2c0dab319429253758db6e8d3;48ef79a0218b620bde9c9f6173819130	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636170/ERR636170_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636170/ERR636170_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	41.02	28.96	
PRJEB6689	ERR636171	Illumina Genome Analyzer II	TAAL-1	46a15c46678805775386ddfe3196cbe6;12756b88f9a2d438c2a31ea09e6da912	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636171/ERR636171_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636171/ERR636171_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	NA	NA	
PRJEB6689	ERR636172	Illumina Genome Analyzer II	39.1	b78a9d87de7a920fcabd90aa0bc3652f;49b2f76152a99c48850e50b2035af5d2	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636172/ERR636172_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636172/ERR636172_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	37.989117	15.3369	
PRJEB6689	ERR636173	Illumina Genome Analyzer II	925	322864100265e078213d5d62cf267066;b7f87faf9c4ad779ac2dfe4e634faf25	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636173/ERR636173_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636173/ERR636173_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	39.666667	20.85	
PRJEB6689	ERR636174	Illumina Genome Analyzer II	984	1900fb0608f4047e3bd136a95578df71;380f45a81102454344e5e2ea56522e0e	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636174/ERR636174_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR636/ERR636174/ERR636174_2.fastq.gz	Capsella rubella	Agren et al. BMC Genomics 2014/ Koenig et al. eLife 2019	39.5	3	
PRJNA13878	SRR207609	LS454	Monte_Gargano	b8603af1c5ccae14b7a3ed86f1044792;4ce771c187b9af340fc0b48a053a3e43	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207609/SRR207609_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207609/SRR207609_2.fastq.gz	Capsella rubella	Slotte et al. Nature Genetics 2013	NA	NA	REFERENCE
PRJNA13878	SRR207610	LS454	Monte_Gargano	8ee35f9c98e97a2b5f72537c66e4193b;8a62b84d3ab78b6a0f5cc1df62d5fef5	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207610/SRR207610_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207610/SRR207610_2.fastq.gz	Capsella rubella	Slotte et al. Nature Genetics 2013	NA	NA	REFERENCE
PRJNA13878	SRR207611	LS454	Monte_Gargano	ebde29a46f6027dede9ab815197e042f;cacae084387608ab6e9b7813d2e19324	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207611/SRR207611_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207611/SRR207611_2.fastq.gz	Capsella rubella	Slotte et al. Nature Genetics 2013	NA	NA	REFERENCE
PRJNA13878	SRR207612	LS454	Monte_Gargano	c83d5dfb84edd7029db710fa1eb4b5fd;0d71127d1396956f2cc2135ccac9e460	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207612/SRR207612_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207612/SRR207612_2.fastq.gz	Capsella rubella	Slotte et al. Nature Genetics 2013	NA	NA	REFERENCE
PRJNA13878	SRR207619	LS454	Monte_Gargano	f42003da25c78f127eaf9c0cbe2bf073;e7db92377880bb1129e9c652373e3d51	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207619/SRR207619_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207619/SRR207619_2.fastq.gz	Capsella rubella	Slotte et al. Nature Genetics 2013	NA	NA	REFERENCE
PRJNA13878	SRR207620	LS454	Monte_Gargano	0559e6430af8aef4f2e559ca90b55d1a;bf7923b4b49e291c20478cb188305241	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207620/SRR207620_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207620/SRR207620_2.fastq.gz	Capsella rubella	Slotte et al. Nature Genetics 2013	NA	NA	REFERENCE
PRJNA13878	SRR207621	LS454	Monte_Gargano	c559b8c416cede26694e32cf1561fa15;8d9272a62c17191b8bdee0e209332f16	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207621/SRR207621_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207621/SRR207621_2.fastq.gz	Capsella rubella	Slotte et al. Nature Genetics 2013	NA	NA	REFERENCE
PRJNA13878	SRR207622	LS454	Monte_Gargano	dbddb913d2bd306542f0ff736f294864;5f1f124bc23b0bdfaf42e6d52bb6743f	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207622/SRR207622_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207622/SRR207622_2.fastq.gz	Capsella rubella	Slotte et al. Nature Genetics 2013	NA	NA	REFERENCE
PRJNA13878	SRR207623	LS454	Monte_Gargano	e25b917a51ce7b98b4d07b446ed3c70d;72cc730efbe1bf1be82e7fef9af1cdca	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207623/SRR207623_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207623/SRR207623_2.fastq.gz	Capsella rubella	Slotte et al. Nature Genetics 2013	NA	NA	REFERENCE
PRJNA13878	SRR207624	LS454	Monte_Gargano	cc140db4c0e31e039ab7d655ff1b91bb;efd195bdc66e3f8f456d933ae2e6b804	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207624/SRR207624_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207624/SRR207624_2.fastq.gz	Capsella rubella	Slotte et al. Nature Genetics 2013	NA	NA	REFERENCE
PRJNA13878	SRR207625	LS454	Monte_Gargano	464c5fe5c80b2ac4c3e8cc49b6fd8676;e40a31fa3d9c70225368edf89b7f2440	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207625/SRR207625_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207625/SRR207625_2.fastq.gz	Capsella rubella	Slotte et al. Nature Genetics 2013	NA	NA	REFERENCE
PRJNA13878	SRR207626	LS454	Monte_Gargano	d57aa171778abac2169bdbee4fa97d61;ffdcfe7e71129e00a2d3485a5d90e4f7	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207626/SRR207626_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR207/SRR207626/SRR207626_2.fastq.gz	Capsella rubella	Slotte et al. Nature Genetics 2013	NA	NA	REFERENCE
PRJNA533007	SRR8904467	Illumina HiSeq 2500	85.3	b49a00dffe26a3962c4fbec39ef6516a;afd25bed46b43e957ad4944ba9cc0513	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/007/SRR8904467/SRR8904467_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/007/SRR8904467/SRR8904467_2.fastq.gz	Capsella grandiflora	Kryvokhyzha et al. PLoS Genetics 2019, https://doi.org/10.1371/journal.pgen.1008131	39.56	20.92	
PRJNA533007	SRR8904468	Illumina HiSeq 2500	86.12	428d56db84cab197818c38b7321e60df;205780a5b9a96cf0ff7996a6da3217f4	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/008/SRR8904468/SRR8904468_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/008/SRR8904468/SRR8904468_2.fastq.gz	Capsella grandiflora	Kryvokhyzha et al. PLoS Genetics 2019, https://doi.org/10.1371/journal.pgen.1008131	39.52	20.97	
PRJNA533007	SRR8904469	Illumina HiSeq 2500	87.26	1dd7aab5862252c78e1435b920efedc0;6dd22dcc9c6337e17123b95f3f3e1606	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/009/SRR8904469/SRR8904469_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/009/SRR8904469/SRR8904469_2.fastq.gz	Capsella grandiflora	Kryvokhyzha et al. PLoS Genetics 2019, https://doi.org/10.1371/journal.pgen.1008131	39.48	20.98	
PRJNA533007	SRR8904470	Illumina HiSeq 2500	88.5	d2eb76371520a40153f5a63dfd6cdf00;837c1d7a40adc5c6732fece6a17a3bb8	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/000/SRR8904470/SRR8904470_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/000/SRR8904470/SRR8904470_2.fastq.gz	Capsella grandiflora	Kryvokhyzha et al. PLoS Genetics 2019, https://doi.org/10.1371/journal.pgen.1008131	39.88	20.75	
PRJNA254516	SRR1508428	Illumina HiSeq 2000	83.17	d07057b9f15c6ac5e89c4e45062d683e;a5048ec92dafa0b7715f95d3e45ada2f	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/008/SRR1508428/SRR1508428_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/008/SRR1508428/SRR1508428_2.fastq.gz	Capsella grandiflora	Agren et al. BMC Genomics 2014	38.4379	21.42431667	labeled as both 83.17 and 91.2 in SRA/ENA. Assumed  83.17 since 91.2 has another run called "91.2_real"
PRJNA254516	SRR1508430	Illumina HiSeq 2000	85.33	706c6070748364428158ba9051a41e42;55da72fd008e70df359435d572463ac5	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/000/SRR1508430/SRR1508430_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/000/SRR1508430/SRR1508430_2.fastq.gz	Capsella grandiflora	Agren et al. BMC Genomics 2014	39.55521667	20.91641667	
PRJNA254516	SRR1508432	Illumina HiSeq 2000	103.17	629dc25cc928ce184224fcfacc0a2278;2fb56b69ce2f8bff779c1b42ba5e97d4	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/002/SRR1508432/SRR1508432_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/002/SRR1508432/SRR1508432_2.fastq.gz	Capsella grandiflora	Agren et al. BMC Genomics 2014	39.51838333	21.56091667	
PRJNA254516	SRR1508433	Illumina HiSeq 2000	5a	a324b363c69464d85f3eaaf93f6d596b;e5321e52ab1af6d401274e1fca0cc97d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/003/SRR1508433/SRR1508433_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/003/SRR1508433/SRR1508433_2.fastq.gz	Capsella grandiflora	Agren et al. BMC Genomics 2014	39.705025	19.7573444	
PRJNA254516	SRR1508435	Illumina HiSeq 2000	91.2	77b989bc3b50c491e840f88f98c84b34;f6c41e1a5d0bb9be618d0cadc4b71d5d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/005/SRR1508435/SRR1508435_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/005/SRR1508435/SRR1508435_2.fastq.gz	Capsella grandiflora	Agren et al. BMC Genomics 2014	39.86715	20.70708333	
PRJNA254516	SRR1508436	Illumina HiSeq 2000	95.15	5107697bc90d98d29038f52d121a8618;057bbca230ec49415b5e5b954c17c722	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/006/SRR1508436/SRR1508436_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/006/SRR1508436/SRR1508436_2.fastq.gz	Capsella grandiflora	Agren et al. BMC Genomics 2014	39.14541667	20.05816667	
PRJNA254516	SRR1508437	Illumina HiSeq 2000	86.8	b1b4883336e9ad2fe6e49647997ff6ab;cb9ac25c39af39258b5256e3befd551d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/007/SRR1508437/SRR1508437_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR150/007/SRR1508437/SRR1508437_2.fastq.gz	Capsella grandiflora	Agren et al. BMC Genomics 2014	39.01723333	20.13193333	
PRJNA254516	SRR6980471	Illumina HiSeq 2000	98	f8d1baf1bba0c51ce483373bfc081d97	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR698/001/SRR6980471/SRR6980471.fastq.gz	Capsella grandiflora	Agren et al. BMC Genomics 2014	NA	NA	
PRJNA254516	SRR6980472	Illumina HiSeq 2000	94.12	64d4e83bc63a2edb70d7c186e63da31d	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR698/002/SRR6980472/SRR6980472.fastq.gz	Capsella grandiflora	Agren et al. BMC Genomics 2014	NA	NA	
PRJNA254516	SRR6980473	Illumina HiSeq 2000	93.23	bca5ea2fe21dfaee6d8b8912a7323375	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR698/003/SRR6980473/SRR6980473.fastq.gz	Capsella grandiflora	Agren et al. BMC Genomics 2014	NA	NA	
PRJNA254516	SRR6980474	Illumina HiSeq 2000	88.56	084716061d071b4b055215cc8f229877	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR698/004/SRR6980474/SRR6980474.fastq.gz	Capsella grandiflora	Agren et al. BMC Genomics 2014	NA	NA	
PRJNA254516	SRR6980475	Illumina HiSeq 2000	97.26	6825e5217f87a26adc706ebc1b2bbe15	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR698/005/SRR6980475/SRR6980475.fastq.gz	Capsella grandiflora	Agren et al. BMC Genomics 2014	NA	NA	
PRJNA533007	SRR8904462	Illumina HiSeq 2500	DUB-RUS9	64e4177c7ad658232b1bc4aeaf556285;160045145f0c6b98ed12eb31d79a3806	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/002/SRR8904462/SRR8904462_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/002/SRR8904462/SRR8904462_2.fastq.gz	Capsella bursa-pastoris	Kryvokhyzha et al. PLoS Genetics 2019, https://doi.org/10.1371/journal.pgen.1008131	51.53	58.85	
PRJNA533007	SRR8904463	Illumina HiSeq 2500	KYRG-3-14	43422272b768a2786501f005ceedf955;c243d91e900fe9eb8687fbcc356c446b	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/003/SRR8904463/SRR8904463_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/003/SRR8904463/SRR8904463_2.fastq.gz	Capsella bursa-pastoris	Kryvokhyzha et al. PLoS Genetics 2019, https://doi.org/10.1371/journal.pgen.1008131	39.79	72.18	
PRJNA533007	SRR8904464	Illumina HiSeq 2500	LAB-RUS-4	5dcfd67a3db392ed4b815284cdb88ee5;5ae73724dcdebdf5ce3b543290877138	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/004/SRR8904464/SRR8904464_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/004/SRR8904464/SRR8904464_2.fastq.gz	Capsella bursa-pastoris	Kryvokhyzha et al. PLoS Genetics 2019, https://doi.org/10.1371/journal.pgen.1008131	66.65	66.4	
PRJNA533007	SRR8904465	Illumina HiSeq 2500	TACH-CHIN14	7d9e376d606a7523062f79913cca85e6;a3f665c8a4ab320ba2d77142a3740a0a	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/005/SRR8904465/SRR8904465_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/005/SRR8904465/SRR8904465_2.fastq.gz	Capsella bursa-pastoris	Kryvokhyzha et al. PLoS Genetics 2019, https://doi.org/10.1371/journal.pgen.1008131	47.07	83.01	
PRJNA533007	SRR8904466	Illumina HiSeq 2500	JO59	4f5025949dcb30098a2215a9f8cb3800;85426248e7b29182d8b2b37eb41ea7b5	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/006/SRR8904466/SRR8904466_1.fastq.gz;ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR890/006/SRR8904466/SRR8904466_2.fastq.gz	Capsella bursa-pastoris	Kryvokhyzha et al. PLoS Genetics 2019, https://doi.org/10.1371/journal.pgen.1008131	31.97	35.98	
